sub,kind,target_x0,target_y0,response_x0,response_y0,target_orientation_deg,target_radius_pixels,which_eye,sub_num,match_x0,match_y0,response_r,response_theta,match_r,match_theta,target_radius_deg,target_ori_id,target_rad_id,target_id,error_x,error_y,error_r,error_theta,error_r_mu,error_r_sd
hb,A,-1.14318,-2.77182,1.2058200000000001,2.4273000000000002,247,192,good,4,1.14318,2.77182,2.7103112666998235,63.582999603266344,2.998307293257314,67.58731053136572,3,6,2,14,0.06264000000000003,-0.3445199999999997,-0.28799602655749057,-4.004310928099372,0.15779718927421588,0.38513834721298806
hb,A,6.46758,2.67786,-4.4631,-2.38032,22,448,good,4,-6.46758,-2.67786,5.05818,-151.92751306414704,7.000037516756607,-157.5083133157831,7,1,4,25,2.00448,0.2975399999999997,-1.941857516756607,5.580800251636077,-2.0281402073292067,0.7337505341484173
hb,A,1.14318,-2.77182,-0.92394,2.349,292,192,good,4,-1.14318,2.77182,2.5241763257744103,111.4713683239146,2.998307293257314,112.41268946863428,3,7,2,15,0.2192400000000001,-0.42281999999999975,-0.47413096748290373,-0.9413211447196801,-0.2846275410560728,0.16871741501971432
hb,A,-2.67786,6.46758,2.06712,-5.07384,112,448,good,4,2.67786,-6.46758,5.478762400396644,-67.83365417791754,7.000037516756607,-67.50831331578311,7,3,4,27,-0.6107399999999998,1.3937400000000002,-1.5212751163599627,-0.3253408621344249,-0.7627326667344347,0.7769612748917513
hb,A,0.37584,-0.92394,-0.42282000000000003,0.783,292,64,good,4,-0.37584,0.92394,0.8898683904937853,118.36904629327857,0.9974571816373874,112.13549187810035,1,7,1,7,-0.04698000000000002,-0.14093999999999995,-0.10758879114360209,6.233554415178219,0.10247626899063562,0.1832918402341399
hb,A,-2.77182,1.14318,2.2707,-0.90828,157,192,good,4,2.77182,-1.14318,2.4456187455120637,-21.80140948635181,2.998307293257314,-22.412689468634277,3,4,2,12,-0.5011199999999998,0.2349000000000001,-0.5526885477452503,0.6112799822824648,0.16114337777629004,0.6440643199290877
hb,A,1.91052,4.6197,-1.81656,-3.69576,67,320,good,4,-1.91052,-4.6197,4.1180738472251806,-116.17528998175993,4.999171407383428,-112.46799697245953,5,2,3,18,0.09396000000000004,0.92394,-0.8810975601582474,-3.7072930093004004,-0.5180938921057764,0.48346622354561647
hb,A,-6.46758,2.67786,4.9329,-3.33558,157,448,good,4,6.46758,-2.67786,5.95479607932967,-34.06618321424421,7.000037516756607,-22.49168668421689,7,4,4,28,-1.5346799999999998,-0.6577200000000003,-1.0452414374269372,-11.574496530027321,-0.549502367947263,0.6036104061684561
hb,A,-1.91052,-4.6197,1.9575,3.6018,247,320,good,4,1.91052,4.6197,4.099362083300278,61.47688139368797,4.999171407383428,67.53200302754048,5,6,3,22,0.04698000000000002,-1.0179,-0.89980932408315,-6.055121633852515,-0.5348443926274775,0.5924852705006615
hb,A,2.67786,-6.46758,-2.88144,5.9038200000000005,292,448,good,4,-2.67786,6.46758,6.569458658519742,116.01532176104563,7.000037516756607,112.49168668421689,7,7,4,31,-0.2035800000000001,-0.5637599999999994,-0.43057885823686526,3.5236350768287394,-1.276432451951926,0.8675864587725263
hb,A,1.14318,2.77182,-1.4877,-2.67786,67,192,good,4,-1.14318,-2.77182,3.063361792149272,-119.05460409907714,2.998307293257314,-112.41268946863428,3,2,2,10,-0.34451999999999994,0.09396000000000004,0.06505449889195791,-6.641914630442855,0.0016576171755052405,0.24308465977060764
hb,A,2.67786,6.46758,-2.5839,-5.65326,67,448,good,4,-2.67786,-6.46758,6.215777331726097,-114.56342036941105,7.000037516756607,-112.49168668421689,7,2,4,26,0.09396000000000004,0.8143199999999995,-0.7842601850305098,-2.071733685194161,-1.4731823610035089,0.5840714433747046
hb,A,-1.91052,4.6197,1.8009,-4.29084,112,320,good,4,1.91052,-4.6197,4.653444822451428,-67.2318159954473,4.999171407383428,-67.53200302754048,5,3,3,19,-0.10962000000000005,0.3288599999999997,-0.3457265849319997,0.3001870320931772,-0.2987231206042483,0.6309669214300231
hb,A,-0.92394,0.37584,0.97092,-0.53244,157,64,good,4,0.92394,-0.37584,1.1073292193381334,-28.739795291688043,0.9974571816373874,-22.135491878100353,1,4,1,4,0.04698000000000002,-0.15660000000000002,0.10987203770074605,-6.60430341358769,0.25819417915700316,0.2233605723579174
